ab.tcin,ab.fiscal_week_begin_d,ab.fiscal_week_end_d,n_stores_asmt
"13462173","2023-10-22","2023-10-28","1399"
"13462173","2023-10-29","2023-11-04","1399"
"13462173","2023-11-05","2023-11-11","1399"
"13462173","2023-11-12","2023-11-18","1399"
"13462173","2023-11-19","2023-11-25","1399"
"13954338","2023-10-22","2023-10-28","1955"
"13954338","2023-10-29","2023-11-04","1955"
"13954338","2023-11-05","2023-11-11","1955"
"13954338","2023-11-12","2023-11-18","1955"
"13954338","2023-11-19","2023-11-25","1955"
"47100768","2023-10-22","2023-10-28","82"
"47100768","2023-10-29","2023-11-04","82"
"47100768","2023-11-05","2023-11-11","82"
"47100768","2023-11-12","2023-11-18","82"
"47100768","2023-11-19","2023-11-25","82"
"77615852","2023-10-22","2023-10-28","1751"
"77615852","2023-10-29","2023-11-04","1751"
"77615852","2023-11-05","2023-11-11","1751"
"77615852","2023-11-12","2023-11-18","1751"
"77615852","2023-11-19","2023-11-25","1751"
"88347594","2023-10-22","2023-10-28","1744"
"88347594","2023-10-29","2023-11-04","1744"
"88347594","2023-11-05","2023-11-11","1744"
"88347594","2023-11-12","2023-11-18","1744"
"88347594","2023-11-19","2023-11-25","1744"
