ab.tcin,ab.fiscal_week_begin_d,ab.fiscal_week_end_d,n_stores
"13462173","2023-11-19","2023-11-25","1399"
"13462173","2023-11-26","2023-12-02","1399"
"13462173","2023-12-03","2023-12-09","1399"
"13462173","2023-12-10","2023-12-16","1399"
"13462173","2023-12-17","2023-12-23","1399"
"13954338","2023-11-19","2023-11-25","1955"
"13954338","2023-11-26","2023-12-02","1955"
"13954338","2023-12-03","2023-12-09","1955"
"13954338","2023-12-10","2023-12-16","1955"
"13954338","2023-12-17","2023-12-23","1955"
"47100768","2023-11-19","2023-11-25","82"
"47100768","2023-11-26","2023-12-02","82"
"47100768","2023-12-03","2023-12-09","82"
"47100768","2023-12-10","2023-12-16","82"
"47100768","2023-12-17","2023-12-23","82"
"77615852","2023-11-19","2023-11-25","1751"
"77615852","2023-11-26","2023-12-02","1751"
"77615852","2023-12-03","2023-12-09","1751"
"77615852","2023-12-10","2023-12-16","1751"
"77615852","2023-12-17","2023-12-23","1751"
"88347594","2023-11-19","2023-11-25","1744"
"88347594","2023-11-26","2023-12-02","1744"
"88347594","2023-12-03","2023-12-09","1744"
"88347594","2023-12-10","2023-12-16","1744"
"88347594","2023-12-17","2023-12-23","1744"
