ab.tcin,ab.fiscal_week_begin_d,ab.fiscal_week_end_d,regular_price,selling_price
"13462173","2023-10-22","2023-10-28","18.013926812104113","17.063187895847967"
"13462173","2023-10-29","2023-11-04","18.013926812104117","17.066706544686813"
"13462173","2023-11-05","2023-11-11","18.013926812104113","17.066706544686813"
"13462173","2023-11-12","2023-11-18","18.013926812104113","17.066706544686813"
"13462173","2023-11-19","2023-11-25","18.013926812104117","17.066002814919045"
"13954338","2023-10-22","2023-10-28","30.718216818642215","30.718216818642215"
"13954338","2023-10-29","2023-11-04","30.71821681864221","30.71821681864221"
"13954338","2023-11-05","2023-11-11","30.716190476190334","30.716190476190334"
"13954338","2023-11-12","2023-11-18","30.716190476190338","30.716190476190338"
"13954338","2023-11-19","2023-11-25","30.716190476190338","30.716190476190338"
"47100768","2023-10-22","2023-10-28","17.313553719008265","17.313553719008265"
"47100768","2023-10-29","2023-11-04","17.31355371900826","14.487892561983472"
"47100768","2023-11-05","2023-11-11","17.31355371900826","17.31355371900826"
"47100768","2023-11-12","2023-11-18","17.31355371900826","17.31355371900826"
"47100768","2023-11-19","2023-11-25","17.313553719008265","17.313553719008265"
"77615852","2023-10-22","2023-10-28","499.99000000000115","499.99000000000115"
"77615852","2023-10-29","2023-11-04","499.9900000000011","400.52219797764786"
"77615852","2023-11-05","2023-11-11","499.99000000000115","499.99000000000115"
"77615852","2023-11-12","2023-11-18","499.99000000000115","499.99000000000115"
"77615852","2023-11-19","2023-11-25","499.9900000000011","400.096894708712"
"88347594","2023-10-22","2023-10-28","449.9900000000009","449.9900000000009"
"88347594","2023-10-29","2023-11-04","449.9900000000009","251.00936799184487"
"88347594","2023-11-05","2023-11-11","449.9900000000008","449.9900000000008"
"88347594","2023-11-12","2023-11-18","449.9900000000009","449.9900000000009"
"88347594","2023-11-19","2023-11-25","449.9900000000009","250.29690537084377"
